연도,영화명,장르,감독,프로듀서,각본,캐스팅,크랭크인,크랭크업,투자_1,투자_2,배급,제작사,연락처,개봉(예정),비고
2009,하하하,코미디/드라마,홍상수,김경희,홍상수,"김상경, 문소리, 유준상, 예지원",2009-07-02,2009-07-31,전원사/하하하 투자모임,,스폰지이엔티,전원사,02-546-6424,2010-05-06,63회 칸영화제 주목할 만한 시선 부문 대상 수상작/2010 PIFF 한국영화의 오늘 - 파노라마 부문 출품작
2009,시티 오브 크레인,"페이크 다큐멘터리/
드라마",문승욱,"오동진, 배정민",문승욱,"마붑 알엄 펄럽, 유예진",2009-08-11,2009-09-05,"아리랑국제방송/
문화체육관광부",,스폰지이엔티,디앤디미디어/삼거리픽쳐스,02-732-5590,2010-05-06,"<영화, 한국을 만나다> 프로젝트 중 인천편/프라하필름아시아 공식초청작"
2009,시,드라마,이창동,이동하,이창동,"윤정희, 이다윗",2009-08-25,2009-12-13,,,N.E.W.,파인하우스필름/유니코리아 문예투자주식회사,031-967-1325,2010-05-13,"제63회 칸국제영화제 각본상 수상작/2010 PIFF 한국영화의 오늘 - 파노라마 부문 출품작/2010 아시아태평양영화상(APSA) 감독상, 여우주연상 수상작"
2009,하녀,스릴러,임상수,원정심,"김수현, 임상수","전도연, 이정재, 윤여정, 서우",2010-01-13,2010-03-17,싸이더스FNH-베넥스영상투자조합 1호,,싸이더스FNH,미로비젼,02-3443-2569,2010-05-13,"김기영 감독 <하녀> 리메이크/63회 칸국제영화제 경쟁 부문 진출작/2010 PIFF 한국영화의 오늘 - 파노라마 부문 출품작/2010 시네마닐라 국제영화제 국제경쟁부문 최고 감독상, 최고 여배우상(윤여정) 수상작/2010 필름 프롬 더 사우스 영화제 실버미러 어워드 최고작품상 수상작/2010 플랑드르 국제영화제 음악상 수상"
2009,그녀에게,드라마,김성호,"오동진, 배정민",김성호,"이우성, 한주영, 조성아",2009-08-10,2010-08-23,"아리랑국제방송/
문화체육관광부",,스폰지이엔티,디앤디미디어/삼거리픽쳐스,02-732-5590,2010-05-13,"<영화, 한국을 만나다> 프로젝트 중 부산편"
2009,내 깡패 같은 애인,로맨틱 코미디,김광식,구태진,김광식,"박중훈, 정유미",2009-10-14,2009-12-21,보스톤창업투자/KTB,,롯데엔터테인먼트,JK필름,02-3446-3519,2010-05-20,A.K.A. 내가 가장 예뻤을 때/2009 영진위 한국영화제작지원작
2009,도쿄택시,코믹 로드무비/드라마,김태식,"야스마사 사이미, 김효정","김양희, 김태식","야마다 마사시, 야마자키 하지메, 
유하나, 김정화(우정출연)",2009-02-01,2009-06-06,"MusicOn!TV/
Speedstar Records",,키노아이DMC,필름라인,02-3443-5639,2010-05-20,2009 PIFF 초청작/2008 서울영상위원회 제작지원작/한일 합작
2009,여행,옴니버스 드라마,배창호,"오동진, 배정민",배창호,"김유미, 박주희, 양은용, 박상규",2009-06-15,2009-09-05,"아리랑국제방송/
문화체육관광부",,스폰지이엔티,디앤디미디어/삼거리픽쳐스,02-732-5590,2010-05-20,"<영화, 한국을 만나다> 프로젝트 중 제주편"
2010,마마 앤드 파파,드라마,장태령 ,"이병철, 최인아 ",장태령,"김진아, 조동희, 김호영",2009-11-01,2010-02-01,,,KMSTAR,KMSTAR/TOPCHILD ,02-780-2021,2010-05-20,
2009,꿈은 이루어진다,"코미디/
휴먼 드라마",계윤식,최주섭,계윤식,"이성재, 강성진, 정경호, 추상록, 최지현, 유태웅",2009-11-12,2010-01-15,드림슈거픽쳐스,,CJ엔터테인먼트,드림슈거픽쳐스/YK픽쳐스코리아,02-549-8567,2010-05-27,
2010,내 남자의 순이,코미디,김호준,기노영,김호준,"박해미, 신이, 이태성",2009-03-31,2009-05-22,"여해 엔터테인먼트/ 
프레임 에이치 컨텐츠 그룹",,프라임 엔터테인먼트,여해 엔터테인먼트,02-3444-8021,2010-05-27,
2009,블러디 쉐이크,드라마/판타지,김지용 ,김지용,김지용,"전혜진, 성 혁, 장성원, 김도용",2008-07-15,2008-10-26,Indi Future Studio,팜코리아미디어,팜코리아미디어,팜코리아미디어/Indi Future Studio,031-931-5033,2010-05-27,"2009 부천판타스틱 영화제 월드 판타스틱 시네마 초청작, 필름 스탁 인터네셔널 페스티벌 출품작. 유러피안 프리미어 초청. "
2009,방자전,사극/코미디,김대우,박대희,김대우,"김주혁, 류승범, 조여정",2009-10-01,2010-01-10,CJ엔터테인먼트,바른손,CJ엔터테인먼트,바른손/시오필름/더타워픽쳐스,02-540-2711,2010-06-03,
2010,귀(鬼),하이틴 호러/옴니버스,"조은경, 홍동명, 여명준, 김조광수","조윤진, 송태종, 제정주,  안몽식","조은경, 홍동명, 여명준, 김조광수","김예리, 신지수, 김꽃비, 이민호, 최혜경",09-Jun,09-Aug,스튜디오 느림보,,CJ엔터테인먼트,청년필름,02-2285-0367,2010-06-10,A.K.A. 환상기담 묘/2009 Piff 미드나잇패션 부문 공식 초청작
2009,포화 속으로,전쟁/드라마,이재한,최명기,이만희,"차승원, 권상우, 최승현, 김승우",2009-12-01,2010-04-13,롯데엔터테인먼트,,롯데엔터테인먼트,태원엔터테인먼트/유비유필름,02-2017-0029,2010-06-16,A.K.A. 71/63회 칸마켓 유럽 선판매/2010 하와이국제영화제 폐막작 선정
2009,맨발의 꿈,스포츠/드라마,김태균,김준종,오이시 테츠야,"박희순, 고창석",2009-11-01,2010-01-26,쇼박스㈜미디어플렉스,,쇼박스㈜미디어플렉스,캠프비/쇼박스㈜미디어플렉스,02-542-4456,2010-06-24,동티모르 유소년 축구팀 김신환 감독 실화 바탕/2010 금계백화장 영화제 감독상 수상/2011 아카데미 외국어영화상 출품작/ 
2010,요술,드라마,구혜선,조대은,구혜선,"임지규, 서현진, 김정욱",2010-01-15,2010-02-22,YG엔터테인먼트,,CJ엔터테인먼트,YG엔터테인먼트,,2010-06-24,YG엔터테인먼트 첫 번째 상업영화 제작
2008,나쁜놈이 더 잘잔다,범죄 드라마,권영철,김효정,권영철,"김흥수, 조안, 오태경, 서장원",2008-08-01,2008-10-01,,서울영상위원회,키노아이DMC,필름라인,02-3443-5639,2010-06-24,2007 영진위 예술영화제작지원작/2009 PiFan 상영
2010,"60년전, 사선에서",다큐멘터리,박성미,"조덕현, 김성태, 최원정","박성미, 허윤선","백선엽, 최갑석, 최영섭",2009-10-05,2010-03-04,디케이미디어/인터콘미디어,디케이미디어/인터콘미디어,인터콘미디어,디케이미디어,02-3446-9121,2010-06-24,
2009,파괴된 사나이,하드보일드 휴먼 드라마,우민호,천승철,우민호,"김명민, 엄기준, 박주미",2010-01-25,2010-04-05,시너지/한컴,,시너지,아이필름코퍼레이션/아이러브시네마,031-965-7788,2010-07-01,
2009,영도다리,드라마,전수일,김성태,전수일,"박하선, 김정태",2009-02-23,2009-03-31,,,마운틴픽쳐스,동녘필름/제니스픽쳐스,,2010-07-01,2009 산세바스티안국제영화제 경쟁 부문/2010 라스팔마스영화제 초청작
2009,분홍돌고래,드라마,조연수 ,홍주선,조연수 ,"한태일, 오수현, 임호영, 문성복, 박지혜, 성정선, 김도은",2009-08-09,2009-08-26,,,,와이에스필름,,2010-07-01,2010 제1독립영화전용관 시네마루 개봉지원작/영화진흥위원회 배급지원작
2009,이끼,스릴러,강우석,정선영,정지우,"정재영, 박해일, 유준상, 유선, 유해진, 김상호, 김준배, 강신일",2009-08-29,2010-03-17,CJ엔터테인먼트,,CJ엔터테인먼트,시네마서비스/KnJ엔터테인먼트/렛츠필름,02-2001-8800,2010-07-14,윤태호 동명 만화 원작/정지우 각색/2010 PIFF 한국영화의 오늘 - 파노라마 부문 출품작
2009,우리 만난 적 있나요,멜로,임진평,심세윤,유세문,"박재정, 윤소이",2009-10-09,2009-11-20,,,,시네마토그라프필름,02-514-9241,2010-07-17,A.K.A. 그대와 영원히/2010 PiFan 비전 익스프레스 부문 초청작
2009,마음이 2,드라마,이정철,정재승,이정철,"달이, 성동일, 김정태, 송중기",2009-10-20,2010-06-09,롯데엔터테인먼트,KTB/이수창업투자,롯데엔터테인먼트,화인웍스/씨엘엔터테인먼트/북경금전영업유한공사,02-514-1558,2010-07-21,A.K.A. 마음이-두번째 이야기
2010,고死 두 번째 이야기 : 교생실습,호러 스릴러,유선동,박선영,"박혜민, 이정화, 이공주","황정음, 윤시윤, 김수로, 지연(티아라), 박은빈",2010-04-10,2010-06-02,N.E.W.,,N.E.W.,코어콘텐츠미디어,02-546-2982,2010-07-28,"2010 PiFan 폐막작 선정/63회 칸마켓 대만, 홍콩 선판매"
2010,잊혀진 가방,기독교 로드 다큐멘터리,김상철,정미현,김상철,"권오중, 이현우, 헬렌 로즈비어, 필립 우드, 랜시 우드, 이인응",2009-10-04,2010-05-11,,,마운틴픽쳐스,파이오니아21,070-8622-3088,2010-07-29,
2009,아저씨,액션/드라마,이정범,김성우,이정범,"원빈, 김새론",2010-01-14,2010-06-08,CJ엔터테인먼트,유나이티드 픽처스,CJ엔터테인먼트,오퍼스픽쳐스,02-3443-4296,2010-08-04,A.K.A. 아.저.씨/2010 PIFF 한국영화의 오늘 - 파노라마 부문 출품작
2009,악마를 보았다,액션/스릴러,김지운,"김재영, 김정화",박훈정,"이병헌, 최민식",2010-02-06,2010-06-19,소프트뱅크벤처스코리아/쇼박스㈜미디어플렉스,,쇼박스㈜미디어플렉스,페퍼민트앤컴퍼니/씨즈엔터테인먼트,02-6254-1278,2010-08-12,A.K.A. 아열대의 밤/63회 칸마켓 프랑스 선판매/2010 토론토국제영화제 스페셜 프레젠테이션 부문 초청작/2010 산세바스티안국제영화제 경쟁 부문 진출/미국 판권 판매 - 매그놀리아 배급사 
2010,마법천자문 - 대마왕의 부활을 막아라,애니메이션,윤영기,박순홍,"선지연, 오정은","정선혜, 박신희",2007-03-03,2010-06-30,CJ창업투자,,CJ엔터테인먼트,DNA 프로덕션,02-598-1849,2010-08-19,어린이 교육용 출판물 '마법천자문' 원작
2010,폐가,호러,이철하,강영모,김은경,"신경선, 윤이나, 현태호",2010-05-03,2010-06-20,데이지엔테테인먼트,,시너지,HY Films,02-338-1007,2010-08-19,
2010,인플루언스,미스터리/옴니버스,이재규,김형민,홍진아,"이병헌, 한채영, 전노민, 김태우",2009-12-14,2010-01-12,윈저엔터테인먼트,,롯데엔터테인먼트,윈저엔터테인먼트/리얼라이즈 픽쳐스,02-514-6803,2010-08-19,위스키 브랜드 '윈저' 기업 이미지를 반영 제작한 국내 최초 블랜디드 엔터테인먼트 콘텐츠
2009,죽이고 싶은,스릴러,"조원희, 김상화",남권우,"조원희, 김상화","천호진, 유해진, 서효림, 김서형",2009-07-15,2009-10-05,KTB창업투자/이수창업투자,,롯데엔터테인먼트,펀치볼,,2010-08-26,2009 영진위 한국영화제작지원작
2010,당신은 아름답다,다큐멘터리,"백승찬, 장혜영","장용석, 박성미",김옥영 외,"사카이 미나, 사카이 아츠시, 아이누레블스, 김수향(내레이션)",2009-06-25,2009-09-16,문화체육관광부 산하 아시아문화중심도시추진단,,마운틴픽쳐스,DK미디어,070-8667-5100,2010-08-26,일본 소수 민족 아이누가 결성한 '아이누레블스'의 퍼포먼스 다큐/가수 하림 음악 감독
2010,미스터 좀비,코미디/공포,이수성,박민석,이수성,"원풍연, 배누리",2010-02-05,2010-03-28,,,마운틴픽쳐스,리 필름,070-8632-9669,2010-08-26,2010 여수국제특수효과(SFX) 콩그레스 우수상 수상
2009,김복남 살인사건의 전말,스릴러,장철수,장석빈,최관영,"서영희, 지성원, 박정학, 이지은",2009-09-01,2009-11-01,보스톤창업투자,,스폰지이엔티,필마픽쳐스/토리픽쳐스,02-3445-8990,2010-09-02,"2010 판타스틱 페스트 영화제 관객상, 여우주연상 수상/2010 시체스국제판타스틱영화제 초청작/2010 도쿄필멕스 초청작/일본 배급 King Records사 판매 및 개봉/2010 영진위 상반기 다양성영화개봉지원작/2008 영진위 HD제작지원작/63회 칸영화제 비평가주간 부문 초청작/63회 칸마켓 영국, 러시아, 대만, 터키 4개국 선판매/2010 Pifan 부천초이스 장편 초청작/2010 Pifan 작품상, 여우주연상, 후지필름 이터나상 수상 3관왕"
2008,탈주,드라마,이송희일,조윤진,이송희일,"이영훈, 소유진, 진이한",2008-07-17,2008-10-15,KTB,청년필름,인디스토리,청년필름,02-2285-0367,2010-09-02,2009 PIFF 초청작/2007 영진위 HD제작지원작
2010,엄지아빠,범죄 스릴러,강성룡,강성룡,강성룡,"방동원, 진다은, 이설구, 조형래, 장세훈, 신현승, 유석창, 최은용, 이정은",2009-06-01,2009-06-15,,,위드시네마,자투리 필름,,2010-09-02,2010 제1독립영화상영관 시네마루 하반기 마케팅 배급지원작
2010,해결사,액션,권혁재,김정민,"류승완, 권혁재, 김정민","설경구, 이정진, 오달수, 문정희",2010-03-05,2010-06-05,N.E.W.,,N.E.W.,외유내강/N.E.W.,02-544-7333,2010-09-09,
2010,울지마 톤즈,다큐멘터리,구수환,구수환,윤정화,"故 이태석, 이금희(내레이션)",2010-01-22,2010-04-07,KBS,마운틴픽쳐스,마운틴픽쳐스,KBS,,2010-09-09,아프리카 수단 톤즈 마을에서 구호 활동을 펼친 故 이태석 신부 실화 다큐멘터리
2009,땅의 여자,다큐멘터리,권우정,권우정,권우정,"소희주, 강선희, 변은주",2007-06-01,2008-12-26,,,시네마 달,다큐인,,2010-09-09,2009 PIFF 메세나상 수상/2009 서울독립영화제 대상 수상
2009,무적자,액션/드라마,송해성,김상근,"김해곤, 김효석","송승헌, 주진모, 김강우, 조한선",2010-01-25,2010-07-01,포뮬라엔터테인먼트,,CJ엔터테인먼트,핑거프린트,02-3445-0707,2010-09-16,"<영웅본색> 리메이크/일본 투자 유치/2010 베니스국제영화제 비경쟁 부문 초청작/아시아 8개국 수출(일본, 홍콩, 대만, 말레이시아, 브루나이, 싱가포르, 인도네시아, 필리핀)/2010 도쿄국제영화제 특별초대 부문 초청작"
2010,시라노; 연애조작단,로맨틱코미디,김현석,김주경,김현석,"엄태웅, 최다니엘, 이민정, 박신혜",2010-04-21,2010-07-05,롯데엔터테인트,,롯데엔터테인먼트,명필름,02-2193-2012,2010-09-16,A.K.A. 시라노 에이전시/프랑스 동명 영화 모티브
2010,그랑프리,스포츠/드라마,양윤호,이정학,"이정학, 남상욱","김태희, 양동근 ",2010-04-02,2010-07-26,한국마사회/싸이더스FNH-베넥스영상투자조합 1호 ,,싸이더스FNH,네버엔딩스토리,,2010-09-16,한국 마사회 지원
2009,옥희의 영화,드라마,홍상수,김경희,홍상수,"이선균, 정유미, 문성근",2009-11-11,2010-01-07,,,스폰지이엔티,전원사,02-450-3824,2010-09-16,2010 베니스국제영화제 오리종티(Orizzonti) 부문 폐막작/2010 토론토국제영화제 스페셜 프레젠테이션 부문 초청작 
2010,퀴즈왕,코미디/드라마,장진,김성진,장진,"김수로, 한재석, 류승룡",2010-03-02,2010-04-11,,,시네마서비스,소란플레이먼트,02-3448-5803,2010-09-16,미국 동시 개봉(CGV LA 개봉)
2009,계몽영화,가족 드라마,박동훈,박남희,"박동훈, 박남희","정승길, 김지인, 오우정, 이상현, 박혁권, 신규리 ",2008-08-19,2009-07-20,JP체커스,,인디스토리,3767 Film,02-3142-4977,2010-09-16,2010 영진위 상반기 다양성영화개봉지원작/2009 PIFF ACF 후반작업지원작/중앙대학교 공연영상사업단 제작지원
2009,살인의 강,스릴러,김대현,강지연,김대현,"김다현, 신성록, 황인영",2009-04-06,2009-05-28,영화사홍,,마운틴픽쳐스,영화사홍,02-518-1059,2010-09-30,A.K.A. 순수의 시대/2008 영진위 독립영화제작지원작
2009,방가? 방가!,코미디/드라마,육상효,이세영,"최해철, 최용육, 육상효","김인권, 김정태, 신현빈",2010-01-15,2010-02-08,데이지엔터테인먼트,,시너지,상상역엔터테인먼트,02-541-3360,2010-09-30,"A.K.A. 아세아 브라더스, 방가방가방가/2009 영진위 한국영화제작지원작/2010 다문화영화제 개막작"
2008,"빗자루, 금붕어 되다 ",드라마,김동주,김동주,김동주,"유순웅, 김재록, 최유진",2007-09-28,2007-10-31,,,마노엔터테인먼트,김동주필름,02-532-8357,2010-09-30,2008 테살로니키영화제 경쟁 부문/2008 JIFF 상영/2010 영진위 상반기 다양성영화개봉지원작 
2008,노르웨이의 숲,공포,노진수,최광호,노진수,"정경호, 박인수, 지서윤",08-Aug,08-Sep,타임스토리 그룹,마루만파토스,키노아이DMC,타임스토리 그룹,02-511-9806,2010-09-30,2009 PiFan 상영/2010 유바리국제판타스틱영화제 상영
2010,불청객,SF,이응일 ,이응일 ,"이응일, 안건형, 김정훈","김진식, 원강영, 이응일",2006-09-15,2010-04-24,,,이모션픽쳐스,삼천리영화사,,2010-09-30,2010 PiFan 월드 판타스틱 시네마 부문 초청작
2010,희망의 별-이퀘지레템바,다큐멘터리,"이홍석, 박성준, 채희창",박성준,정수미,"임흥세, 유지태(내레이션)",2009-12-09,2010-04-26,,N STAR N PICTURES,마운틴픽쳐스,N STAR N PICTURES/기아대책,02-3789-8842,2010-10-07,경기도 제작지원작
2010,심야의 FM,스릴러,김상만,최기섭,"김휘, 김상만","수애, 유지태",2010-02-01,2010-06-05,롯데엔터테인먼트,,롯데엔터테인먼트,주말의 명화/홍필름/롯데엔터테인먼트,02-514-2184,2010-10-14,2010 하와이국제영화제 30주년 특별 초청작
2010,할,종교 드라마,윤용진,"김준희, 민경영",윤용진,"우상전, 조용주, 안홍진",2009-05-01,2009-12-30,,,인디스토리,바닐라 엔젤,02-544-9604,2010-10-14,2010 영진위 상반기 다양성영화 개봉지원작/2010 영진위 한국예술영화인증작/대한불교 조계종 총무원 후원
2009,된장,미스터리 드라마,이서군,"최태영, 김진영","이서군, 장진","이요원, 이동욱, 류승룡",2009-03-18,2009-10-10,CJ엔터테인먼트,,CJ엔터테인먼트,필름있수다,02-747-5885,2010-10-21,2010 PIFF 갈라 프레젠테이션 부문 출품작
2009,참을 수 없는.,멜로,권칠인,"홍지용, 모성진","박경미, 김수아, 
홍금옥, 한창성"," 추자현, 정찬, 한수연, 김흥수",2009-07-20,2009-08-16,아이앤코스모스(주)시네와이즈/노버스 미디어코프,,시너지,아이앤코스모스(주)시네와이즈필름/에이프릴컴,02-3443-2777,2010-10-21,"A.K.A. 가족의 발명, 러브홀릭/2009 PIFF 초청작/2007 영진위 예술영화제작지원작"
2010,부당거래,느와르/드라마,류승완,한재덕,박훈정," 황정민, 류승범, 유해진, 천호진",2010-04-15,2010-07-09,CJ엔터테인먼트,,CJ엔터테인먼트,필름트레인/외유내강,02-3144-1021,2010-10-28,
